Item,Price,Link
89x Cherry MX Switches,$25,https://www.aliexpress.com/item/1005006255961111.html?spm=a2g0o.productlist.main.1.313aZQHbZQHbyF&algo_pvid=6d1afddf-9989-4a7c-ad5a-14945d9acb3d&algo_exp_id=6d1afddf-9989-4a7c-ad5a-14945d9acb3d-0&pdp_ext_f=%7B%22order%22%3A%221044%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%218.99%211.39%21%21%2145.94%217.11%21%402101d9ee17529990794214549e88c5%2112000036489552472%21sea%21CA%210%21ABX&curPageLogUid=JNMqebzd3gPt&utparam-url=scene%3Asearch%7Cquery_from%3A
89x Keycaps for a TKL keyboard,$30,https://www.amazon.ca/White-Keycaps-Minimalist-Mechanical-Keyboards/dp/B0BZCB56T5
90x SK6812 Mini-E LED's,$30,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_OPSCO-Optoelectronics-SK6812MINI-E_C5149201.html
1x Raspberry Pi Pico,$7,https://www.pishop.ca/product/raspberry-pi-pico-h-pre-soldered-headers/
3x 3.5mm thick acrylic panels,Free,Provided By University
1x 5mm thick acrylic panel,Free,Provided By University
1x 1.5mm thick acrylic panel,Free,Provided By University
10x Low profile M3 bolts/nuts,??,Will find locally
PCB,$50,https://jlcpcb.com/
,$142,